,sch9/wt,ras2/wt,tor1/wt,centroid
309,-0.1208449,-0.2967943,-0.2124305,2.0
310,0.1624943,0.0389394,-0.0133175,2.0
311,0.1739006,0.148942,0.1377463,5.0
312,0.678604,0.7586266,0.4057151,0.0
313,0.4170644,-0.0092351,0.5113819,5.0
314,0.2475378,0.1354327,0.6553601,5.0
315,-0.1072845,-0.966236,-0.4260614,1.0
316,-0.2344616,-0.5688599,-0.7922824,1.0
317,0.5655085,0.1043477,0.2824426,5.0
318,1.253332,1.668739,1.246226,4.0
319,-0.01193877,-0.09326172,-0.06583863,2.0
320,-0.3497554,-0.8097736,-0.17913,1.0
321,-1.223459,-1.523921,-0.6357636,3.0
322,0.07830398,0.2212154,0.3648964,5.0
323,-0.728259,-1.208701,-0.7281795,3.0
324,-0.08258742,-0.4580747,0.08424223,2.0
325,-0.06443573,-0.1811809,-0.06317607,2.0
326,-0.07773328,0.05031046,0.168666,2.0
327,0.2968311,0.4040426,0.4848773,5.0
328,0.6016993,0.7405489,0.6752124,0.0
329,-0.2624441,-0.8346743,-0.3498697,1.0
330,-0.05088189,-0.2482989,0.01481943,2.0
331,0.1530087,-0.3189972,-0.2870155,2.0
332,-0.8944974,-0.8161482,-0.7314527,3.0
333,-0.7100487,-0.3106913,-0.3328611,1.0
334,0.9103152,0.795777,0.6409046,0.0
335,0.8229741,0.3311861,0.5637217,0.0
336,-0.1147809,-0.2948075,0.06717346,2.0
337,0.07488657,-0.0137947,0.155851,2.0
338,0.07464288,0.166189,0.2421162,5.0
339,0.2075202,0.186836,0.2321769,5.0
340,-0.2434804,-0.2163983,-0.1787791,2.0
341,-0.7366657,-0.8827149,-0.7530918,3.0
342,-0.2553135,-0.3633414,-0.2472083,1.0
343,-0.3821288,-0.2442698,-0.5095376,1.0
344,-0.5089921,-1.165942,-0.6574593,3.0
345,0.3267216,0.3601491,0.3371747,5.0
346,0.4137907,0.04469667,0.1958955,5.0
347,0.4552601,0.2320687,0.5685686,5.0
348,0.06792425,-0.4468319,0.04791874,2.0
349,-0.3801405,-0.5525259,-0.4917679,1.0
350,0.01872412,-0.5031355,-0.2826725,1.0
351,0.08940575,-0.3676125,-0.2576985,2.0
352,-0.4463951,-0.6656388,-0.237828,1.0
353,0.028119,-0.662915,-0.316934,1.0
354,-0.3210847,-0.3300238,-0.1492849,1.0
355,0.4517634,0.274746,0.144152,5.0
356,-0.2694458,0.1130616,0.2326869,2.0
357,0.1805123,0.7183378,0.2116381,5.0
358,-0.3229716,-0.4473553,0.133782,1.0
359,0.7786622,1.099169,0.6408207,0.0
360,0.0931451,-0.2086996,1.029076,5.0
361,-0.3240673,-0.9110781,-0.04163596,1.0
362,0.2619814,0.1039323,0.008056833,5.0
363,-0.3510552,-0.8742678,0.1183847,1.0
364,0.08784244,-0.05383628,-0.2926632,2.0
365,0.1503255,0.1798503,0.02990179,5.0
366,-0.5099501,-0.7435258,-0.2444082,1.0
367,0.26114,0.2256637,0.1999244,5.0
368,0.483102,0.3510408,0.3418719,5.0
369,0.1495348,0.1438577,-0.044344,2.0
370,0.2178588,0.2571541,0.129233,5.0
371,-0.9122932,-0.9648773,-0.9774052,3.0
372,0.01180262,-0.2312728,0.254997,2.0
373,0.01474954,1.140208,0.06372805,0.0
374,-0.5691906,-0.7199628,-0.4991632,1.0
375,-1.36612,-0.3794558,-0.513655,3.0
376,-0.7735218,-1.329103,-0.7035546,3.0
377,0.1103477,0.07657336,0.1527002,5.0
